Activity,time,seconds_elapsed,z,y,x
Driving,1.77566E+18,98.29581738,-0.683115005,0.123194933,0.124000311
Driving,1.77566E+18,100.3886472,-0.525918007,0.238379121,0.217321634
Driving,1.77566E+18,102.4816604,0.023581505,0.008176565,-0.230123997
Driving,1.77566E+18,104.5745515,-0.189777374,-0.015304208,-0.367192745
Driving,1.77566E+18,106.6675032,0.013127327,-0.247409344,0.135692596
Driving,1.77566E+18,108.7605186,-0.083714485,-0.150884256,0.163342237
Driving,1.77566E+18,110.8535327,-0.198163033,-0.08245872,-0.19468379
Driving,1.77566E+18,112.9465166,0.391485214,-0.003020659,-0.230621815
Driving,1.77566E+18,114.9550422,0.653642654,-0.062028367,0.330380678
Driving,1.77566E+18,116.9675208,0.330684662,-0.075611345,0.250414371
Driving,1.77566E+18,119.0846421,0.023081779,0.158773184,-0.437742949
Driving,1.77566E+18,121.1776858,0.231075287,0.126860321,-0.114446163
Driving,1.77566E+18,123.1862234,0.68376255,0.770833254,0.055271506
Driving,1.77566E+18,125.1987019,0.769260406,0.105757475,-0.097352624
Driving,1.77566E+18,127.2349836,1.164579391,0.22869122,-0.140390396
Driving,1.77566E+18,129.3280576,1.157680511,0.08941561,-0.246946335
Driving,1.77566E+18,131.3364739,1.135714531,0.471184999,-0.681969404
Driving,1.77566E+18,133.3489827,0.078150749,-0.006779432,-0.089112282
Driving,1.77566E+18,135.3816023,1.734068871,-0.142693222,-0.211685419
Driving,1.77566E+18,137.4745845,-1.307109356,-0.693160713,0.169037819
Driving,1.77566E+18,139.5676277,-0.638466835,-0.827607751,-0.150915384
Driving,1.77566E+18,141.6606404,-0.522133827,0.070616245,0.161659479
Driving,1.77566E+18,143.7537449,1.801074982,-0.182525873,0.010451794
Driving,1.77566E+18,145.8467881,-0.101750374,0.154249191,-0.159861803
Driving,1.77566E+18,147.9398618,0.431279182,-1.548623323,-0.039283514
Driving,1.77566E+18,150.0328745,1.085149765,0.450193673,-0.580473423
Driving,1.77566E+18,152.1260784,1.496716499,-0.244210169,0.457915068
Driving,1.77566E+18,154.2190608,0.309293747,0.395128489,0.102519989
Driving,1.77566E+18,156.3119822,0.318667412,-0.119341552,-0.222467899
Driving,1.77566E+18,158.4048423,0.885230064,0.273182511,-0.368700743
Driving,1.77566E+18,160.4977029,0.850899696,0.149871692,-0.253036499
Driving,1.77566E+18,162.5905938,0.435117722,0.503914416,0.423955441
Driving,1.77566E+18,164.6835149,0.167707443,0.029553056,-0.010982513
Driving,1.77566E+18,166.776583,0.793822289,0.004780173,-0.688132286
Driving,1.77566E+18,168.7882981,0.503621101,0.202586532,0.239572048
Driving,1.77566E+18,170.8008984,-0.448407173,0.554324806,0.534286261
Driving,1.77566E+18,172.9054634,0.583145142,0.100905292,-0.066781521
Driving,1.77566E+18,174.9979258,0.705746651,0.192374676,-0.490350723
Driving,1.77566E+18,177.0904492,1.081252098,0.145496622,-0.000410318
Driving,1.77566E+18,179.183125,0.755609512,-0.321958959,-0.085882425
Driving,1.77566E+18,181.2758318,-0.590974808,-0.514159918,0.319894791
Driving,1.77566E+18,183.3684465,0.788981438,0.121356338,0.267173052
Driving,1.77566E+18,185.4611531,-0.423157692,-0.035344321,0.00047493
Driving,1.77566E+18,187.5540122,-0.556955338,-0.065522164,0.092372119
Driving,1.77566E+18,189.6467188,1.225971222,-0.2411291,0.42705518
Driving,1.77566E+18,191.7396389,0.074382782,0.035510659,-0.127317905
Driving,1.77566E+18,193.832376,0.321201324,-0.058364809,0.012124181
Driving,1.77566E+18,195.9250095,0.416976929,0.005207211,-0.199331284
Driving,1.77566E+18,197.9252493,0.071270943,0.037205696,-0.005319118
Driving,1.77566E+18,199.9373601,0.022173882,0.14170602,-0.407683611
Driving,1.77566E+18,202.0746084,0.362445831,0.07381019,0.287777901
Driving,1.77566E+18,204.1676516,0.283118248,-0.038608491,0.373865843
Driving,1.77566E+18,206.1761289,1.635940552,-0.408024341,0.483668327
Driving,1.77566E+18,208.1884238,0.976306915,-0.138538122,0.21005702
Driving,1.77566E+18,210.2408184,-1.008054733,0.317786872,-0.193989992
Driving,1.77566E+18,212.3336438,-0.601226807,0.058022998,-0.266234636
Driving,1.77566E+18,214.3461829,1.952381134,0.645284235,-0.375536203
Driving,1.77566E+18,216.3580503,0.54796505,0.124153018,0.060876608
Driving,1.77566E+18,218.3939165,-3.257064819,-0.865779638,0.546058416
Driving,1.77566E+18,220.486531,-0.046194077,0.094116136,-0.199426889
Driving,1.77566E+18,222.5792065,1.191519737,0.162148938,0.097592354
Driving,1.77566E+18,224.6720652,-1.515583038,-0.030627519,-0.163376331
Driving,1.77566E+18,226.7650457,0.466685295,-0.030921496,0.04201591
Driving,1.77566E+18,228.8582507,0.348319054,-0.157238632,0.289204478
Driving,1.77566E+18,230.9512915,0.999760628,0.049999453,0.014628768
Driving,1.77566E+18,233.0437222,0.113185883,0.125173926,-0.394792557
Driving,1.77566E+18,235.1367629,0.333942413,-0.028078973,0.109392643
Driving,1.77566E+18,237.2298345,-0.392622948,0.038948894,-0.130402088
Driving,1.77566E+18,239.3227534,0.809123993,-0.25761196,-0.311602831
Driving,1.77566E+18,241.4157214,-0.029328346,0.04145968,-0.252528667
Driving,1.77566E+18,243.5083672,-0.1930933,-0.06506151,0.066154003
Driving,1.77566E+18,245.6015015,0.748102188,-0.044942021,0.065380812
Driving,1.77566E+18,247.6945442,0.060720444,0.05329293,-0.232554913
Driving,1.77566E+18,249.7874038,-0.346440315,0.079295516,0.180155039
Driving,1.77566E+18,251.8801233,0.808917046,0.08232969,-0.148995876
Driving,1.77566E+18,253.9730127,-0.393821716,0.093315847,0.381996393
Driving,1.77566E+18,256.0658413,-0.194602013,0.092361003,0.009394526
Driving,1.77566E+18,258.1587307,0.975000381,-0.042743094,0.013664603
Driving,1.77566E+18,260.2512539,0.601892471,-0.017856628,-0.201410055
Driving,1.77566E+18,262.3437979,0.240786552,0.055126697,-0.178809881
Driving,1.77566E+18,264.436261,-0.267419815,-0.52832365,-0.366335869
Driving,1.77566E+18,266.5290901,-0.402097702,-0.006840646,-0.036488771
Driving,1.77566E+18,268.6217668,-0.053440094,-0.327805996,0.436684608
Driving,1.77566E+18,270.6301787,-0.789288521,-0.32050243,0.20990634
Driving,1.77566E+18,272.6426563,1.215428352,-0.107657969,-0.513817072
Driving,1.77566E+18,274.6388987,0.064277649,-0.415409476,0.272961378
Driving,1.77566E+18,276.7317883,0.027814865,0.219123483,-0.052130461
Driving,1.77566E+18,278.7400076,-0.357097626,0.413700491,0.120726347
Driving,1.77566E+18,280.7522109,0.310558319,-0.280857205,-0.271074653
Driving,1.77566E+18,282.8247466,0.585233688,-0.022108018,-0.292372465
Driving,1.77566E+18,284.9174468,-0.158299446,-0.191583961,0.03592062
Driving,1.77566E+18,286.9294666,1.917488098,-0.38119933,-0.205225945
Driving,1.77566E+18,288.9414866,0.65634346,-0.167205691,-0.076667547
Driving,1.77566E+18,291.013625,-0.208827972,0.281338871,0.091120243
Driving,1.77566E+18,293.1057827,1.158146858,0.440374434,-0.659320831
Driving,1.77566E+18,295.1981843,2.194611549,1.168514132,0.618036032
Driving,1.77566E+18,297.2906472,-1.17146492,0.384300202,0.365553856
Driving,1.77566E+18,299.3833235,0.75044632,-0.116904818,-0.074469566
Driving,1.77566E+18,301.4759624,0.611588478,-0.173396662,-0.050887108
Driving,1.77566E+18,303.5683335,-0.455985069,0.116624236,0.15404129
Driving,1.77566E+18,305.6610708,-0.091462135,0.130464405,-0.039275408
Driving,1.77566E+18,307.7536555,-0.95290947,0.002021551,0.031877518
Driving,1.77566E+18,309.8463013,0.237989426,-0.043766215,0.025147915
Driving,1.77566E+18,311.938825,0.9258461,0.205013752,-0.017188787
Driving,1.77566E+18,314.0311045,-0.397920609,-0.394116074,0.258758545
Driving,1.77566E+18,316.1234756,0.275636673,-0.096931547,-0.411905766
Driving,1.77566E+18,318.2162434,-0.699439049,0.152368069,0.152628183
Driving,1.77566E+18,320.3088584,0.861713409,0.347309589,0.02276206
Driving,1.77566E+18,322.4017483,0.185529709,-0.062605217,0.094673872
Driving,1.77566E+18,324.4942109,-0.732298851,0.309747338,0.684559584
Driving,1.77566E+18,326.586521,0.47693634,-0.175369427,-0.298448563
Driving,1.77566E+18,328.6789543,0.348027229,-0.054679528,-0.302545071
Driving,1.77566E+18,330.771325,-0.155072212,0.09707959,0.191472054
Driving,1.77566E+18,332.864001,-0.072149277,0.193750963,0.110095024
Driving,1.77566E+18,334.9572983,0.721177101,-0.939526021,0.313485503
Driving,1.77566E+18,337.0500989,1.236177444,-0.021189466,0.487983465
Driving,1.77566E+18,339.1428689,0.495633125,0.40475297,-0.247552752
Driving,1.77566E+18,341.2356082,-2.193559647,0.487526894,0.306861639
Driving,1.77566E+18,343.3282869,-0.047622681,-0.191124782,-0.122692108
Driving,1.77566E+18,345.42124,0.237226486,0.099771008,-0.00324893
Driving,1.77566E+18,347.5141013,1.66804409,-0.451748908,-0.658797503
Driving,1.77566E+18,349.5264026,-0.517215729,0.450727731,-0.437429905
Driving,1.77566E+18,351.5386062,0.928723335,0.313382834,-0.271457672
Driving,1.77566E+18,353.6355554,2.046995163,-0.731693804,-0.702997446
Driving,1.77566E+18,355.7286292,-0.423380852,0.02779986,-0.006891727
Driving,1.77566E+18,357.7371677,1.134505272,0.303082913,-0.09564662
Driving,1.77566E+18,359.7494929,0.075329781,-0.238503709,-0.193482399
Driving,1.77566E+18,361.7977673,-0.264127731,0.194675967,0.221636534
Driving,1.77566E+18,363.8908411,0.187348366,0.22709465,-0.020180941
Driving,1.77566E+18,365.9839143,0.102641106,0.667517662,0.116867304
Driving,1.77566E+18,368.0767439,0.582279205,-0.59899509,-0.358691692
Driving,1.77566E+18,370.1697869,-0.35116291,0.017979741,0.197927713
Driving,1.77566E+18,372.2626785,0.571418762,-0.111041993,-0.004082918
Driving,1.77566E+18,374.3555383,0.205497742,-0.113428444,0.106523275
Driving,1.77566E+18,376.4484595,1.015005112,-0.06972681,-0.212236166
Driving,1.77566E+18,378.5414412,0.785251617,-0.153831273,-0.001593351
Driving,1.77566E+18,380.6344844,0.751066208,-0.106310517,-0.110400438
Driving,1.77566E+18,382.7272527,0.22877121,0.035165276,-0.211548328
Driving,1.77566E+18,384.8200515,0.213766098,0.069855772,-0.056547165
Driving,1.77566E+18,386.9126062,0.256264687,-0.016863311,-0.110969067
Driving,1.77566E+18,389.0049778,0.354331017,0.06594269,-0.135406256
Driving,1.77566E+18,391.097563,0.067930222,-0.015008185,-0.063225985
Driving,1.77566E+18,393.1903008,0.125188828,-0.00506766,-0.027992725
Driving,1.77566E+18,395.2833521,0.20702076,0.053991556,-0.026451588
Driving,1.77566E+18,397.3762419,0.148693085,0.032855101,-0.021764755
Driving,1.77566E+18,399.4691626,0.204316139,0.049222149,-0.025079012
Driving,1.77566E+18,401.5622051,0.194886208,0.00952347,-0.041414738
Driving,1.77566E+18,403.6553394,0.107329369,-0.003676643,-0.110390663
Driving,1.77566E+18,405.7484124,0.278504372,0.019401744,-0.013124943
