Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Driving,1.77566E+18,272.6426563,-0.571595848,0.10809648,0.101822287,0.806985497,0.295385748,-0.040774513,1.238629818
Driving,1.77566E+18,274.6388987,-0.564624429,0.119130634,0.088791497,0.811864138,0.298113167,-0.009645284,1.216802478
Driving,1.77566E+18,276.7317883,-0.552687943,0.103754535,0.11557775,0.818787456,0.303114295,-0.074648768,1.198916316
Driving,1.77566E+18,278.7400076,-0.540216327,0.100696117,0.092296377,0.830366254,0.270500571,-0.044498898,1.15961659
Driving,1.77566E+18,280.7522109,-0.518922687,0.064354278,0.046595015,0.85112083,0.158581182,-0.012526512,1.096028328
Driving,1.77566E+18,282.8247466,-0.480494916,0.078209758,0.077599227,0.870049655,0.212642297,-0.059907403,1.015551209
Driving,1.77566E+18,284.9174468,-0.464007378,0.062685311,0.05263114,0.882041872,0.160204932,-0.034679797,0.971340299
Driving,1.77566E+18,286.9294666,-0.436243594,0.104901381,0.100499682,0.88802433,0.278627902,-0.087077215,0.925467074
Driving,1.77566E+18,288.9414866,-0.443616629,0.11559964,0.099232085,0.883172691,0.297369897,-0.07277853,0.941876233
Driving,1.77566E+18,291.013625,-0.476925492,0.146949768,0.091026731,0.861778438,0.347076178,-0.016722355,1.013862014
Driving,1.77566E+18,293.1057827,-0.501842201,0.160131082,0.083173551,0.845928252,0.362346917,0.020004682,1.067210078
Driving,1.77566E+18,295.1981843,-0.482512087,0.157744512,0.105275519,0.855111659,0.380640835,-0.027820973,1.032823086
Driving,1.77566E+18,297.2906472,-0.479869694,0.182118014,0.099439129,0.852449477,0.418000668,0.005252192,1.024318814
Driving,1.77566E+18,299.3833235,-0.474193245,0.160815224,0.090830505,0.860830367,0.371500939,-0.003864343,1.007725835
Driving,1.77566E+18,301.4759624,-0.462073565,0.163198262,0.097115621,0.866269588,0.38175872,-0.017438281,0.983397901
Driving,1.77566E+18,303.5683335,-0.454725891,0.169476733,0.116010852,0.866627753,0.411182374,-0.046962786,0.976230383
Driving,1.77566E+18,305.6610708,-0.462186754,0.160574377,0.103393741,0.865972877,0.383163154,-0.030646442,0.986460805
Driving,1.77566E+18,307.7536555,-0.462909698,0.141701758,0.095365278,0.869793534,0.341600329,-0.034712937,0.984147072
Driving,1.77566E+18,309.8463013,-0.485826612,0.142667577,0.091550872,0.857459605,0.340199769,-0.018379964,1.034136534
Driving,1.77566E+18,311.938825,-0.48126334,0.14370276,0.085962325,0.860433459,0.336356103,-0.009612142,1.0215832
Driving,1.77566E+18,314.0311045,-0.477177262,0.138143077,0.092746019,0.862911642,0.333183825,-0.028229514,1.015011311
Driving,1.77566E+18,316.1234756,-0.444912046,0.140395045,0.097362638,0.87912631,0.340377539,-0.046277739,0.944960713
Driving,1.77566E+18,318.2162434,-0.456511348,0.141405866,0.09635523,0.873108029,0.341771483,-0.039160293,0.970291197
Driving,1.77566E+18,320.3088584,-0.467534125,0.123801097,0.111234337,0.86816591,0.325656325,-0.077454664,1.000720859
Driving,1.77566E+18,322.4017483,-0.463650823,0.135178283,0.08326631,0.871677458,0.318284959,-0.019812986,0.980871618
Driving,1.77566E+18,324.4942109,-0.467599362,0.129570678,0.088114887,0.869941533,0.313092053,-0.032140795,0.991475224
Driving,1.77566E+18,326.586521,-0.463296682,0.136003628,0.077872366,0.872235775,0.314588755,-0.009826222,0.978086054
Driving,1.77566E+18,328.6789543,-0.459435254,0.10985706,0.072024949,0.878443599,0.262269378,-0.025598088,0.967148721
Driving,1.77566E+18,330.771325,-0.484703392,0.119463071,0.055593666,0.864696741,0.263583452,0.019666256,1.01920259
Driving,1.77566E+18,332.864001,-0.491523296,0.106050014,0.074716829,0.861147821,0.259064198,-0.024434784,1.040492415
Driving,1.77566E+18,334.9572983,-0.416301072,0.082426041,0.06304539,0.903285503,0.202998236,-0.045283355,0.868333101
Driving,1.77566E+18,337.0500989,-0.449523658,0.058497217,0.020036185,0.891125798,0.12259452,0.016883047,0.933357894
Driving,1.77566E+18,339.1428689,-0.281970501,0.026303247,0.137706876,0.949124634,0.132036746,-0.249137834,0.594117284
Driving,1.77566E+18,341.2356082,-0.44345355,0.1502987,0.120398,0.87536484,0.380117595,-0.077561095,0.952744424
Driving,1.77566E+18,343.3282869,-0.468646109,0.173301339,0.095731653,0.860914052,0.398595989,-0.002399462,0.99748832
Driving,1.77566E+18,345.42124,-0.469844908,0.148192465,0.088511989,0.865707994,0.346693486,-0.013996567,0.996938467
Driving,1.77566E+18,347.5141013,-0.44803375,0.155338019,0.093115851,0.875479996,0.363480926,-0.023851033,0.950402379
Driving,1.77566E+18,349.5264026,-0.453860641,0.139387578,0.075591862,0.876850903,0.318419904,-0.00604055,0.956231117
Driving,1.77566E+18,351.5386062,-0.444022596,0.137603521,0.084715694,0.881324351,0.323508501,-0.027129201,0.937813938
Driving,1.77566E+18,353.6355554,-0.449191839,0.115800887,0.057544183,0.884027958,0.259337127,0.002292292,0.939945161
Driving,1.77566E+18,355.7286292,-0.433411866,0.105509758,0.055207659,0.893293977,0.23862195,-0.00717503,0.904309511
Driving,1.77566E+18,357.7371677,-0.440770119,0.090398252,0.021851867,0.892789066,0.181826293,0.0406827,0.913480759
Driving,1.77566E+18,359.7494929,-0.417916447,0.10940402,0.058891367,0.899949074,0.248722017,-0.014555499,0.871311605
Driving,1.77566E+18,361.7977673,-0.455049157,0.109601177,0.044571899,0.882570863,0.236270517,0.021073686,0.949590147
Driving,1.77566E+18,363.8908411,-0.46217069,0.108854972,0.067369297,0.877502322,0.256144285,-0.017615186,0.971808612
Driving,1.77566E+18,365.9839143,-0.457935065,0.143917963,0.141574383,0.86575973,0.391220629,-0.113572635,0.99558866
Driving,1.77566E+18,368.0767439,-0.437702417,0.156542554,0.112377673,0.878226876,0.383337021,-0.060384769,0.936444163
Driving,1.77566E+18,370.1697869,-0.447139353,0.144716814,0.094245173,0.877634048,0.345341235,-0.036016159,0.948692262
