Activity,time,seconds_elapsed,dBFS
Driving,1.77566E+18,25.473,-17.74913383
Driving,1.77566E+18,25.581,-14.99536253
Driving,1.77566E+18,25.682,-18.78882122
Driving,1.77566E+18,25.791,-18.18971047
Driving,1.77566E+18,25.891,-18.39219808
Driving,1.77566E+18,26.00000024,-19.38281692
Driving,1.77566E+18,26.09999976,-17.41602355
Driving,1.77566E+18,26.20800024,-19.25050462
Driving,1.77566E+18,26.309,-19.2359269
Driving,1.77566E+18,26.418,-16.95780683
Driving,1.77566E+18,26.518,-17.48123472
Driving,1.77566E+18,26.627,-16.2704694
Driving,1.77566E+18,26.73199976,-17.49314408
Driving,1.77566E+18,26.834,-17.65756333
Driving,1.77566E+18,26.943,-18.55675903
Driving,1.77566E+18,27.043,-19.2553693
Driving,1.77566E+18,27.151,-17.48917248
Driving,1.77566E+18,27.25199976,-17.92477931
Driving,1.77566E+18,27.361,-17.53096513
Driving,1.77566E+18,27.461,-17.11421172
Driving,1.77566E+18,27.56800024,-8.565177388
Driving,1.77566E+18,27.669,-12.69360473
Driving,1.77566E+18,27.777,-13.45530095
Driving,1.77566E+18,27.878,-16.51190544
Driving,1.77566E+18,27.98799976,-17.96243496
Driving,1.77566E+18,28.08800024,-20.52363026
Driving,1.77566E+18,28.19599976,-17.82309171
Driving,1.77566E+18,28.305,-20.44794186
Driving,1.77566E+18,28.414,-18.7703945
Driving,1.77566E+18,28.513,-17.89560403
Driving,1.77566E+18,28.622,-16.66763808
Driving,1.77566E+18,28.723,-17.64744817
Driving,1.77566E+18,28.831,-17.16187889
Driving,1.77566E+18,28.939,-14.06383969
Driving,1.77566E+18,29.039,-16.85754107
Driving,1.77566E+18,29.14799976,-14.62780531
Driving,1.77566E+18,29.25600024,-15.83141433
Driving,1.77566E+18,29.35599976,-15.33102482
Driving,1.77566E+18,29.46400024,-16.38335369
Driving,1.77566E+18,29.573,-17.52099624
Driving,1.77566E+18,29.674,-16.47826318
Driving,1.77566E+18,29.783,-16.36240279
Driving,1.77566E+18,29.891,-18.98941727
Driving,1.77566E+18,29.999,-16.84831548
Driving,1.77566E+18,30.09999976,-16.5438977
Driving,1.77566E+18,30.214,-17.71850294
Driving,1.77566E+18,30.331,-20.68561621
Driving,1.77566E+18,30.445,-18.82579234
Driving,1.77566E+18,30.56000024,-16.45355726
Driving,1.77566E+18,30.675,-17.9750232
Driving,1.77566E+18,30.79,-18.05729454
Driving,1.77566E+18,30.906,-17.742999
Driving,1.77566E+18,31.022,-18.42972772
Driving,1.77566E+18,31.137,-18.23285954
Driving,1.77566E+18,31.25199976,-15.52836871
Driving,1.77566E+18,31.36800024,-16.2463467
