Activity,time,seconds_elapsed,dBFS
Classroom,1.78E+18,19.741,-39.15858958
Classroom,1.78E+18,19.856,-41.97592348
Classroom,1.78E+18,19.972,-39.32866838
Classroom,1.78E+18,20.08600024,-39.99125675
Classroom,1.78E+18,20.201,-37.22520279
Classroom,1.78E+18,20.317,-40.15161619
Classroom,1.78E+18,20.433,-39.06287633
Classroom,1.78E+18,20.548,-39.45222508
Classroom,1.78E+18,20.664,-41.03087384
Classroom,1.78E+18,20.769,-43.70045816
Classroom,1.78E+18,20.884,-45.49774866
Classroom,1.78E+18,20.999,-43.34263636
Classroom,1.78E+18,21.11399976,-43.53960375
Classroom,1.78E+18,21.232,-36.43419464
Classroom,1.78E+18,21.345,-39.2553693
Classroom,1.78E+18,21.461,-33.99717866
Classroom,1.78E+18,21.576,-35.19123651
Classroom,1.78E+18,21.691,-32.55638762
Classroom,1.78E+18,21.80600024,-34.6449598
Classroom,1.78E+18,21.921,-34.17157303
Classroom,1.78E+18,22.036,-36.94101529
Classroom,1.78E+18,22.151,-41.24236682
Classroom,1.78E+18,22.267,-42.66839277
Classroom,1.78E+18,22.38200024,-44.87190149
Classroom,1.78E+18,22.497,-35.77418944
Classroom,1.78E+18,22.612,-36.43419464
Classroom,1.78E+18,22.727,-33.94421575
Classroom,1.78E+18,22.84199976,-34.40504183
Classroom,1.78E+18,22.95800024,-33.24694303
Classroom,1.78E+18,23.07399976,-41.06077366
Classroom,1.78E+18,23.189,-42.14393432
Classroom,1.78E+18,23.30599976,-42.92441647
Classroom,1.78E+18,23.421,-42.5609371
Classroom,1.78E+18,23.537,-39.42737274
Classroom,1.78E+18,23.653,-32.25779804
Classroom,1.78E+18,23.769,-30.89250141
Classroom,1.78E+18,23.884,-43.74114155
Classroom,1.78E+18,24,-42.52541194
Classroom,1.78E+18,24.109,-37.59905869
Classroom,1.78E+18,24.224,-38.46519847
Classroom,1.78E+18,24.341,-36.46943157
Classroom,1.78E+18,24.456,-37.24448335
Classroom,1.78E+18,24.571,-39.88597195
Classroom,1.78E+18,24.68600024,-36.97837401
Classroom,1.78E+18,24.80199976,-37.59905869
Classroom,1.78E+18,24.91800024,-40.65126195
Classroom,1.78E+18,25.033,-44.4636122
Classroom,1.78E+18,25.148,-47.44843762
Classroom,1.78E+18,25.264,-46.06498153
Classroom,1.78E+18,25.38,-31.37968832
Classroom,1.78E+18,25.495,-34.74570862
Classroom,1.78E+18,25.60999976,-32.14976319
Classroom,1.78E+18,25.727,-39.65364604
Classroom,1.78E+18,25.841,-37.76141649
Classroom,1.78E+18,25.957,-34.81839431
Classroom,1.78E+18,26.072,-33.30806847
Classroom,1.78E+18,26.187,-38.89787483
Classroom,1.78E+18,26.30200024,-34.67362613
Classroom,1.78E+18,26.417,-36.27737392
Classroom,1.78E+18,26.533,-41.27300491
Classroom,1.78E+18,26.648,-35.48570165
Classroom,1.78E+18,26.764,-33.41919011
Classroom,1.78E+18,26.88,-38.48744148
Classroom,1.78E+18,26.995,-39.99125675
Classroom,1.78E+18,27.112,-35.74165798
Classroom,1.78E+18,27.227,-42.34993345
Classroom,1.78E+18,27.34200024,-39.67915528
Classroom,1.78E+18,27.45799976,-37.5789757
Classroom,1.78E+18,27.573,-35.39162972
Classroom,1.78E+18,27.689,-36.75659457
