Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Classroom,1.77575E+18,130.6531929,-0.33648634,0.320279062,-0.816198647,0.343537539,-2.592040777,0.888820469,-2.660592794
Classroom,1.77575E+18,132.745228,-0.336852491,0.321152538,-0.815870047,0.343143821,-2.592041254,0.888748705,-2.658439875
Classroom,1.77575E+18,134.8371108,-0.336692423,0.320636153,-0.81603092,0.343400925,-2.59187746,0.888874829,-2.659795761
Classroom,1.77575E+18,136.9291458,-0.336467773,0.319735557,-0.816292882,0.343837917,-2.591428995,0.889102101,-2.662230253
Classroom,1.77575E+18,139.0209978,-0.335960716,0.318305105,-0.816836536,0.344369382,-2.59114027,0.889033377,-2.665843487
Classroom,1.77575E+18,141.1128806,-0.335846394,0.317887694,-0.816946745,0.344604999,-2.590964556,0.889204383,-2.666969061
Classroom,1.77575E+18,143.2050684,-0.334853977,0.316041619,-0.81771481,0.34544614,-2.591601849,0.889264286,-2.671227932
Classroom,1.77575E+18,145.2975308,-0.334856659,0.315952629,-0.817792475,0.345341057,-2.591470242,0.88898474,-2.671452761
Classroom,1.77575E+18,147.3898101,-0.334264338,0.314509273,-0.818332613,0.345952541,-2.591420412,0.889039695,-2.67501235
Classroom,1.77575E+18,149.4817915,-0.335828841,0.317274868,-0.817108393,0.344803572,-2.590247869,0.889225304,-2.66877532
Classroom,1.77575E+18,151.5738567,-0.33550337,0.316401362,-0.817438602,0.345140219,-2.59011817,0.889202118,-2.670963764
Classroom,1.77575E+18,153.6663188,-0.336221874,0.317923039,-0.816742957,0.344689459,-2.589909554,0.889617145,-2.667399645
Classroom,1.77575E+18,155.7589028,-0.33619526,0.318346798,-0.816655457,0.344531775,-2.590518236,0.88953793,-2.666091442
Classroom,1.77575E+18,157.8512427,-0.33496812,0.315632582,-0.817768097,0.34558332,-2.590751648,0.889358342,-2.672604084
Classroom,1.77575E+18,159.9436436,-0.334171325,0.314333022,-0.818392396,0.34606117,-2.591478109,0.889107704,-2.675430536
Classroom,1.77575E+18,162.0359224,-0.334423184,0.315295637,-0.818120658,0.345584035,-2.591928244,0.888843358,-2.672841072
Classroom,1.77575E+18,164.1283235,-0.334725857,0.315668494,-0.817858279,0.345571578,-2.591512203,0.889222205,-2.672170877
Classroom,1.77575E+18,166.220175,-0.334951133,0.315604538,-0.817879617,0.345361561,-2.590746164,0.88885814,-2.672587872
Classroom,1.77575E+18,168.3122708,-0.334937543,0.315452129,-0.817813575,0.345669866,-2.590617657,0.889410377,-2.673110962
Classroom,1.77575E+18,170.4046648,-0.335808158,0.317256331,-0.817148626,0.344745666,-2.590279818,0.889078498,-2.668781996
Classroom,1.77575E+18,172.497126,-0.335827112,0.317128032,-0.817148328,0.344845802,-2.590068579,0.889220178,-2.669209719
Classroom,1.77575E+18,174.589679,-0.33596462,0.317380428,-0.816989601,0.344856024,-2.589987755,0.88948071,-2.668671608
